FEN	moves	correct_answer	timed_out	time_elapsed
"rnbqk2r/p4ppp/4pn2/1p2N3/1bpP4/2N1PQ2/1P3PPP/R1B1KB1R b KQkq - 5 9"	"f6d5 f3f7"
"1r5r/p1p1kppp/1b2pn2/3q4/QP3n2/P4NP1/1BPP1P1P/RN2KR2 w Q - 1 17"	"f3e5 d5e4 e1d1 e4e2 d1c1 e2f1"
"2r1k2r/pp1n1ppp/2qbpn2/8/N2p4/5N1Q/PP1PPPBP/R1B1K2R w KQk - 2 13"	"b2b3 c6c1 a1c1 c8c1"
"3k4/pp1P4/3KPr2/8/8/8/PP4Rp/8 b - - 0 56"	"h2h1q g2g8 f6f8 g8f8"
"r2qk1r1/pbpnb2p/1p1pp3/3nPpp1/3PN3/2PB1N2/PPQ2PPP/R1B1R1K1 w q f6 0 13"	"e4g5 e7g5 c1g5 g8g5"
"r2qk1nr/pp6/2pb4/4np1p/2B2Pp1/2N5/PP1B2PP/R2QR1K1 b kq f3 0 15"	"g8e7 f4e5 d6c5 g1h1"
"r2q1rk1/7p/3p2p1/ppp1npP1/4PQ1P/2PP4/PPB2P2/R3K2R w KQ f6 0 21"	"h4h5 f5e4"
"r3k2r/pb3pp1/3b1n2/2p1qPN1/4p1Pp/2P1N3/PP2Q2P/R1B1R1K1 b kq g3 0 24"	"h4g3 e2b5 e8f8 b5b7"
