,PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl
1042369,QTrl8,r2qkb1r/p2np1p1/1p5p/7Q/1n1PP3/8/PP3PPP/R1B1KB1R b KQkq - 2 13,g7g6 h5g6,599,105,50,91,mate mateIn1 oneMove opening,https://lichess.org/EOunhLkr/black#26
900228,MrF7p,2r3k1/1p3pp1/4p3/7P/p7/Pb2P3/1P4R1/K1r3R1 w - - 5 38,g1c1 c8c1,599,115,57,63,endgame mate mateIn1 oneMove,https://lichess.org/HmsWseLb#75
955959,OHM5c,r1bqk1nr/pppp1ppp/2n5/2b1p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4,c4f7 e8f7,599,105,76,199,advantage hangingPiece oneMove opening,https://lichess.org/4ooeaZou#7
685655,HOv6i,r2qkb1r/ppp1pp1p/5p2/5b2/1n1Pp3/P1N3P1/1PP2PBP/R2QK1NR b KQkq - 0 8,b4c2 d1c2,599,134,41,37,advantage hangingPiece oneMove opening,https://lichess.org/CBfUI3Fb/black#16
989731,P8FQR,r1bqk2r/ppp2pp1/2p2n2/2b4p/4P3/2N4P/PPPPBPP1/R1BQK2R b KQkq - 1 7,c5f2 e1f2,599,141,47,49,advantage hangingPiece oneMove opening,https://lichess.org/NbMoMmRq/black#14
2291403,wDUH6,r1bqkb1r/ppp2ppp/2np1n2/4p3/2B1PP2/5N2/PPPP2PP/RNBQK2R w KQkq - 2 5,c4f7 e8f7,599,143,0,22,advantage hangingPiece oneMove opening,https://lichess.org/y7JXiua9#9
2337997,xOuu6,r1bqk2r/ppp1bppp/2np1n2/4p3/2B1P3/5N2/PPPPQPPP/RNB2RK1 w kq - 4 6,c4f7 e8f7,599,139,0,27,advantage hangingPiece oneMove opening,https://lichess.org/4pt9CW7o#11
520456,DCySr,rnbqkbnr/pp1p1ppp/8/2p1p3/2B1P3/8/PPPP1PPP/RNBQK1NR w KQkq - 0 3,c4f7 e8f7,599,121,26,41,advantage hangingPiece oneMove opening,https://lichess.org/rbmBKkQ9#5
1371192,YqDWg,1r2R1kr/p1p2ppp/2p5/5bq1/8/1PP2P2/P2NQ1PP/R4K2 b - - 6 20,b8e8 e2e8,599,103,53,80,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/xfbMhnOe/black#40
511944,Czp4e,3r4/7k/p5pp/1pb2B2/8/5N2/P1P2PPP/qN1Q2K1 w - - 0 20,f5g6 h7g6,599,104,44,77,advantage hangingPiece middlegame oneMove,https://lichess.org/Mv81KsRW#39
2439021,zyBHp,8/3b1pk1/7p/r1ppPpPP/5P2/2RP2K1/2P5/4R3 w - - 3 39,e1a1 a5a1,599,104,43,73,advantage endgame hangingPiece oneMove,https://lichess.org/s4nWO9V2#77
1565966,dlw0z,1r4k1/5ppp/4p3/8/3P4/q3P3/5PPP/R5K1 w - - 0 29,a1a3 b8b1,599,98,65,117,backRankMate endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/X0dvuO2r#57
2170144,t7jXv,1k1r1r2/p4pb1/1p5p/5Pp1/1QR1p3/2P5/PP3PPP/2Rq2K1 w - - 4 30,c1d1 d8d1,599,98,47,66,backRankMate endgame mate mateIn1 oneMove,https://lichess.org/hXKPsJka#59
989702,P8Cou,1k1r4/1p4pp/p3p3/5p2/1Q1R4/7P/PPP5/1K1q4 w - - 0 29,d4d1 d8d1,600,106,86,350,backRankMate endgame mate mateIn1 oneMove queenRookEndgame,https://lichess.org/ZeVMen0M#57
161894,46epr,7k/1p3rpp/p1p5/P2p4/1P1n4/6P1/5q1P/2R1R2K b - - 3 39,d4f3 e1e8 f7f8 e8f8,600,102,76,214,backRankMate endgame mate mateIn2 short,https://lichess.org/b07pcB1Y/black#78
1788735,jQwGY,1k1R2r1/ppp1Q3/7p/8/8/8/2qp1PPP/5RK1 b - - 0 25,g8d8 e7d8,600,100,73,217,endgame mate mateIn1 oneMove,https://lichess.org/qPaj4xlk/black#50
694662,HdGJu,4r3/3R3p/6pk/5p2/P3B3/5P2/6PP/7K w - - 0 46,e4d3 e8e1 d3f1 e1f1,600,109,65,62,backRankMate endgame mate mateIn2 short,https://lichess.org/y3wJtWKE#91
1528046,coLmG,8/2k5/8/1K4p1/2P5/8/8/8 w - - 1 64,c4c5 g5g4 b5c4 g4g3,600,89,78,201,crushing endgame pawnEndgame quietMove short,https://lichess.org/Ym3b23ca#127
266458,6lfzA,5k2/6p1/4Kp1p/4p2P/1R1p2P1/5r2/8/8 b - - 1 42,f3c3 b4b8 c3c8 b8c8,600,89,100,78,endgame mate mateIn2 rookEndgame short,https://lichess.org/KcZXsKEQ/black#84
1150049,TDcUE,8/5k2/8/p2q1B2/4R3/1P2PKP1/8/8 b - - 6 48,d5f5 e4f4 f7e6 f4f5,600,83,100,543,crushing defensiveMove endgame pin queenRookEndgame short,https://lichess.org/2hZzxybS/black#96
67745,1irm7,r2qk2r/ppp2pQp/6p1/2b1pb2/8/1P1p4/1PP2PPP/R1B1K1NR b KQkq - 1 13,c5f2 e1f2,600,100,88,588,advantage hangingPiece middlegame oneMove,https://lichess.org/tllwcCkO/black#26
1811984,k1bJB,7k/pR4pp/1bp2p2/5br1/P4K2/1B1r4/8/R3B3 b - - 2 31,d3b3 b7b8 f5c8 b8c8 b6d8 c8d8,600,107,89,577,backRankMate long mate mateIn3 middlegame,https://lichess.org/naPkehx9/black#62
2106786,rWlBo,6k1/3R1ppp/4p3/1N6/1p2PP2/1P3K2/1br3PP/8 b - - 2 30,c2c6 d7d8,600,88,92,424,backRankMate endgame mate mateIn1 oneMove,https://lichess.org/yPuOKGI1/black#60
1622692,fDRxx,6k1/5ppp/1r4qr/p7/5P2/1pn1PQ1P/3N2P1/4RRK1 b - - 3 38,a5a4 f3a8 b6b8 a8b8,600,102,93,258,backRankMate mate mateIn2 middlegame short,https://lichess.org/FfySiuhA/black#76
2175097,tFXay,3Q3k/6pp/4rq2/8/1r6/5N2/3R1KPP/8 b - - 1 37,f6d8 d2d8 e6e8 d8e8,600,92,73,148,backRankMate endgame mate mateIn2 short,https://lichess.org/T0QGRL7I/black#74
830992,L5rIu,3r2k1/1p1r1p1p/pQn3p1/2N5/8/8/5PPP/2q1R1K1 w - - 0 31,e1c1 d7d1 c1d1 d8d1,600,102,94,858,backRankMate endgame mate mateIn2 short,https://lichess.org/mkiPVVAM#61
1368387,YlgH8,4r1k1/1pp2pbp/p2p4/3P3p/7Q/1P3P2/P1P3P1/1K2q3 w - - 1 25,h4e1 e8e1,600,93,83,106,endgame mate mateIn1 oneMove,https://lichess.org/AnkUsEk6#49
1644441,flWT6,r4rk1/6bp/1p1p2p1/1P1Pp3/4Q3/1R6/6PP/2B1Rq1K w - - 2 33,e1f1 f8f1,600,84,73,199,backRankMate mate mateIn1 middlegame oneMove,https://lichess.org/hwWu9WPn#65
1150233,TDs3N,7k/2p3pp/6n1/2P5/R7/2P4P/P5PK/1r6 b - - 0 36,b1c1 a4a8 g6f8 a8f8,600,88,68,265,backRankMate endgame mate mateIn2 short,https://lichess.org/zAUIlcql/black#72
874698,MCxid,6k1/1pr2ppp/8/R7/4r3/6P1/7P/6K1 b - - 0 31,c7c2 a5a8 c2c8 a8c8 e4e8 c8e8,600,101,91,827,backRankMate endgame long mate mateIn3 rookEndgame,https://lichess.org/albu1eeB/black#62
2368456,yAxif,5r1k/pp3p1p/4qp2/2R4Q/3r4/1P2P3/P1PP2PP/6K1 w - - 0 24,e3d4 e6e1,600,99,95,256,endgame mate mateIn1 oneMove,https://lichess.org/wlfsyeV7#47
2387851,yfftT,2r3k1/pr3p1p/1b3PpP/3RP3/1P4P1/P7/1KP5/3R4 b - - 2 33,b7c7 d5d8 c8d8 d1d8,600,110,67,259,endgame mate mateIn2 short,https://lichess.org/iMRscr9y/black#66
1856092,l93OX,3r1k2/1bp2p1p/p4p2/8/2P5/Pn2R1P1/3N1P1P/6K1 w - - 0 26,d2b3 d8d1 e3e1 d1e1,600,98,57,101,endgame mate mateIn2 short,https://lichess.org/qrDivnYh#51
448423,BNU54,2k5/pp6/2p2r2/7p/4p3/2N1n2P/PPPR2P1/2K5 w - - 2 25,d2e2 f6f1 e2e1 f1e1,600,102,90,534,crushing endgame master short,https://lichess.org/ScfZia2F#49
1149993,TDYH3,3r1Rk1/p3p1np/6p1/8/2qp2P1/5Q1P/P3P1K1/5R2 b - - 1 27,d8f8 f3f8,600,86,65,215,endgame mate mateIn1 oneMove,https://lichess.org/97xaZnKS/black#54
444709,BHlp5,r1b3k1/3n1ppp/8/p1NP4/2PR1B2/1r5P/6P1/4R1K1 b - - 1 30,d7c5 e1e8,600,103,91,470,backRankMate mate mateIn1 middlegame oneMove,https://lichess.org/IKYHBUTn/black#60
1368575,Ylyih,3r2k1/p1p2ppp/1r3b2/N1pP4/n4P2/P1P3P1/1P2R2P/R1B3K1 b - - 0 22,d8d5 e2e8,600,97,75,661,backRankMate mate mateIn1 middlegame oneMove,https://lichess.org/mz3QtyeZ/black#44
694917,HdeLf,1r3r1k/3qNpb1/3ppPpp/ppp3Q1/4P3/P2P3P/1PP5/2KR3R w - - 0 21,f6g7 h8g7,600,108,89,521,advantage middlegame oneMove,https://lichess.org/5nd56XsO#41
266509,6llIP,r2R2k1/5ppp/1p2p3/p7/6q1/8/1P1Q1PPP/2R3K1 b - - 1 27,a8d8 d2d8,600,100,88,224,backRankMate endgame mate mateIn1 oneMove,https://lichess.org/zkSbE8OO/black#54
694916,HdeEE,4r1kr/ppp1Rp1p/6qB/1n1p2P1/6Q1/2P5/PP1N1PP1/R5K1 b - - 0 19,e8e7 g4c8 e7e8 c8e8,600,87,92,238,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/AlW11Fn9/black#38
989758,P8Hq0,6k1/pR3ppp/4Q3/3p4/P2P1P2/8/5KP1/4r3 b - - 0 29,e1e6 b7b8 e6e8 b8e8,600,83,73,113,backRankMate endgame mate mateIn2 rookEndgame short,https://lichess.org/IitDOHVQ/black#58
137203,3UCKn,2r5/1p3pkp/6p1/3P1b2/B7/1P2Q3/P2P1PPP/R1r3K1 w - - 1 23,a1c1 c8c1 e3e1 c1e1,600,85,100,189,backRankMate endgame mate mateIn2 short,https://lichess.org/aAFRcvDB#45
1074142,RHqM5,1k1r4/ppp1n3/8/2P3P1/1P5p/P1Q4P/4BPPB/3q2K1 w - - 0 29,e2d1 d8d1 c3e1 d1e1,600,86,55,318,backRankMate endgame mate mateIn2 short,https://lichess.org/e2jxYbMX#57
1750316,iSBlx,4rn1k/pp4q1/3P1np1/4p2p/1P2Q2P/1BN3P1/P6K/5R2 w - - 1 32,e4e3 f6g4 h2g1 g4e3,600,101,88,767,crushing fork middlegame short,https://lichess.org/C8NziopP#63
448456,BNXe0,1r4k1/2p2pp1/2P1p2p/8/3PBn2/7P/6P1/R5K1 b - - 1 37,b8b4 a1a8 b4b8 a8b8,600,86,78,142,endgame mate mateIn2 short,https://lichess.org/nazbBlWz/black#74
1775765,j6Vnp,2k1r3/1pp5/p1b5/4P2p/5qp1/2P5/PP2QPPP/4R1K1 b - - 2 24,f4c4 e2c4,600,100,82,565,crushing endgame hangingPiece oneMove,https://lichess.org/QXQyCFFW/black#48
2269274,veFVO,3r2k1/R4ppp/4p3/4P3/2pN4/2Q5/2P2PPP/6K1 w - - 2 29,d4c6 d8d1 c3e1 d1e1,600,110,69,61,backRankMate endgame mate mateIn2 short,https://lichess.org/GH61bieZ#57
694842,HdXCr,7k/p4b2/1pp2p2/5B2/4P3/P1N4P/1PP3r1/R1K5 w - - 0 40,c1b1 g2g1 c3d1 g1d1,600,111,86,186,endgame mate mateIn2 short,https://lichess.org/bpGveiPM#79
1917760,miBuh,6k1/5ppp/R1pNp3/4P3/2P2n2/1r6/6PP/6K1 b - - 0 36,f4d3 a6a8 b3b8 a8b8,600,104,94,462,endgame mate mateIn2 short,https://lichess.org/H1xNYNIB/black#72
1530107,cremk,5rk1/p4pp1/2N2r1p/2pP4/4Q3/8/6PP/3R1q1K w - - 8 33,d1f1 f6f1,600,90,100,50,backRankMate endgame mate mateIn1 oneMove,https://lichess.org/f9WYx0Zj#65
1447209,al6dU,2rr4/pQ3pkp/1p4p1/2P5/3b4/7P/P4PP1/3R2K1 b - - 0 33,d4f2 g1f2 d8d1 b7c8,600,84,93,198,advantage endgame hangingPiece short,https://lichess.org/fGZCjqdK/black#66
266387,6lZ9x,3rR2k/2p3p1/8/pp1r2p1/5P2/2P3Pb/PPB4P/4R1K1 b - - 1 29,d8e8 e1e8,600,101,60,159,endgame mate mateIn1 oneMove,https://lichess.org/UyZao1t4/black#58
1644457,flY30,2k5/3R4/1pr3N1/p4P2/2n3P1/7K/P7/8 w - - 0 45,g6e7 c8d7 e7c6 d7c6,600,109,93,471,advantage endgame short,https://lichess.org/gpruE2wC#89
1368501,YlqY9,8/8/1p6/p7/6PK/7P/k7/8 b - - 0 47,b6b5 g4g5 b5b4 g5g6 b4b3 g6g7,600,90,80,103,advancedPawn crushing endgame long master pawnEndgame quietMove,https://lichess.org/kO5oC7gx/black#94
2338702,xQ2HW,2r3k1/5p1p/p3p1p1/1p6/4B3/P4P2/1P1rR1PP/7K w - - 0 25,e2d2 c8c1 d2d1 c1d1,600,96,60,72,backRankMate endgame mate mateIn2 short,https://lichess.org/zemU6rRD#49
779127,JlnSK,4r1k1/1brqP1pp/4Rp2/Q2p4/PP6/2P5/5PPP/4R1K1 b - - 2 28,e8e7 e6e7 d7e7 e1e7,600,82,100,260,crushing middlegame short,https://lichess.org/Q0WemgBb/black#56
2175047,tFR71,r7/p2Nk1p1/3Rpp1p/3p4/P2P4/1r2P3/5PPP/2R3K1 w - - 1 34,c1c6 b3b1 c6c1 b1c1,600,96,78,177,backRankMate endgame mate mateIn2 short,https://lichess.org/LjDn1l9n#67
2175048,tFRBC,8/8/6K1/p6P/8/8/k7/8 b - - 0 45,a2b2 h5h6 a5a4 h6h7 a4a3 h7h8q,600,94,90,70,advancedPawn crushing endgame long pawnEndgame promotion,https://lichess.org/ZKfPevR2/black#90
1530101,cre9Y,3r2k1/p2N1ppp/1p2p3/8/8/b1P4P/2P2PP1/3R2K1 b - - 2 24,h7h6 d7f6 g7f6 d1d8,600,91,82,291,advantage discoveredAttack endgame short,https://lichess.org/7E9LA8Un/black#48
1028438,Q7neo,4r1k1/2b2p1p/p4QP1/1p6/1P4N1/P7/2P3P1/R3r2K w - - 1 30,a1e1 e8e1 f6f1 e1f1,600,87,100,150,endgame mate mateIn2 short,https://lichess.org/0RZxad3R#59
872717,M9pw0,2r3k1/pR3ppp/5r2/8/8/P1B5/5PPP/5RK1 b - - 0 22,c8c3 b7b8 c3c8 b8c8,600,103,83,239,backRankMate endgame mate mateIn2 rookEndgame short,https://lichess.org/W7g4DVi7/black#44
448527,BNdC0,1R2R3/6pk/p7/8/6n1/8/rP2N1P1/6K1 w - - 2 38,e2f4 a2a1 e8e1 a1e1,600,87,81,266,endgame mate mateIn2 short,https://lichess.org/KYRSmliq#75
1856043,l8xeP,6k1/5ppp/4p3/p3P3/7q/5P2/6K1/2Q5 b - - 0 39,h4d4 c1c8 d4d8 c8d8,600,104,82,452,backRankMate endgame mate mateIn2 queenEndgame short,https://lichess.org/QquSkgRh/black#78
780175,JnOkb,5rk1/pp6/3p4/2p1p3/2P1P1q1/6Q1/PP4K1/7R b - - 0 35,f8f2 g2f2 g4g3 f2g3,600,132,70,74,crushing endgame hangingPiece pin short,https://lichess.org/ySNT718i/black#70
2338694,xQ1P1,1k2r3/ppp2R2/3p3p/2bP4/2P5/8/PPP1Q1P1/2K5 b - - 0 28,e8e2 f7f8 e2e8 f8e8,600,91,93,239,backRankMate endgame master mate mateIn2 short,https://lichess.org/6whhkNCx/black#56
2338669,xPzGc,6k1/7p/p3p1p1/8/4n3/PPr5/5PPP/4R1K1 w - - 0 27,e1e4 c3c1 e4e1 c1e1,600,104,75,157,backRankMate endgame mate mateIn2 rookEndgame short,https://lichess.org/mZP5AdHe#53
1749736,iRH0t,3r4/5pk1/3r2p1/2B1p1b1/4P3/8/PPP5/2KR1R2 w - - 1 27,c1b1 d6d1 f1d1 d8d1,600,99,91,236,backRankMate endgame mate mateIn2 short,https://lichess.org/9PiiSoxr#53
444635,BHfcf,3k4/p3R3/2PP4/6p1/PP6/3r2Pp/5P1P/6K1 w - - 1 45,e7e6 d3d1 e6e1 d1e1,600,95,85,664,endgame mate mateIn2 rookEndgame short,https://lichess.org/BbwRLvuA#89
1447198,al501,3r2k1/2pr1p1p/6p1/2P1p3/8/8/PP2QPPP/2K5 b - - 2 21,d7d1 e2d1 d8d1 c1d1,600,83,97,392,crushing endgame queenRookEndgame short,https://lichess.org/0z6ZVNbb/black#42
266439,6ldld,6k1/1b1Br1pp/1R2P3/p1p5/P7/7P/1P4r1/7K b - - 0 33,b7d5 b6b8 e7e8 b8e8,600,101,89,327,endgame mate mateIn2 short,https://lichess.org/aJpLJU59/black#66
2106760,rWieR,2r1k3/5p1p/4p3/p7/3p4/PRP5/5PPP/6K1 w - - 0 28,c3d4 c8c1,600,97,95,575,backRankMate endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/qGyvrEdm#55
694695,HdJ1S,1k1q4/pp6/2p5/2P4p/P1P5/1Q5n/1P3PP1/5K2 w - - 0 30,b3h3 d8d1,600,89,74,233,endgame mate mateIn1 oneMove queenEndgame,https://lichess.org/XgwkaQJp#59
989607,P84Vv,3r3k/5rpp/BPP5/P4p2/8/2q5/6PP/2R4K w - - 0 37,c1c3 d8d1 a6f1 d1f1,600,107,76,65,backRankMate endgame mate mateIn2 short,https://lichess.org/r0drmDM1#73
2414271,zLDPb,1k1Q2r1/ppp5/4p3/8/4P1rp/Pq2B1P1/1P3P1P/R2R2K1 b - - 3 23,g8d8 d1d8,600,87,80,283,endgame mate mateIn1 oneMove queensideAttack,https://lichess.org/JiweooiC/black#46
448509,BNbd1,1k4Q1/ppp5/5n2/2Pp4/3q4/5P2/P1r4P/4R2K b - - 0 32,f6g8 e1e8,600,99,89,1036,backRankMate endgame mate mateIn1 oneMove,https://lichess.org/OCmzvdvM/black#64
1146491,T7zIS,r3r1k1/p2q1pp1/1p3B1p/3p4/3P4/4RPP1/P3Q2P/4R1K1 b - - 0 26,g7f6 e3e8 a8e8 e2e8 d7e8 e1e8,600,104,82,354,crushing endgame long,https://lichess.org/SMJ0OXl8/black#52
1530132,crhAf,5k2/pRp2p1p/2p5/3b4/4N3/3r4/4r1PP/4R2K w - - 8 34,e1e2 d3d1 e2e1 d1e1,600,104,93,364,backRankMate endgame mate mateIn2 short,https://lichess.org/IFAPgjrh#67
1750347,iSF8T,1r3rk1/5ppp/p1p1p3/8/P7/R1P1P3/5PPP/3R2K1 w - - 1 19,d1d6 b8b1 d6d1 b1d1,600,85,80,88,backRankMate endgame mate mateIn2 rookEndgame short,https://lichess.org/EeUub1Xa#37
1622384,fCwmk,6k1/5ppp/4p3/4P3/8/R2PK3/1r3P1P/8 b - - 2 35,b2b5 a3a8 b5b8 a8b8,600,101,85,395,backRankMate endgame mate mateIn2 rookEndgame short,https://lichess.org/uzPcn8jC/black#70
694829,HdWDx,6k1/8/5K2/5P2/3p4/8/8/8 w - - 0 57,f6e5 d4d3 e5d4 d3d2,600,89,52,83,advancedPawn crushing endgame pawnEndgame short,https://lichess.org/l5W8k8uu#113
989620,P85Ti,6k1/p4pp1/3Nb3/1BPr3p/1P6/P7/R5PP/2Qq3K w - - 2 29,c1d1 d5d1 b5f1 d1f1,600,81,96,570,backRankMate endgame mate mateIn2 short,https://lichess.org/Wbjnfiht#57
2142582,sQdsS,6k1/5ppp/1Rp2b2/8/4p3/7P/PPPr1PP1/6K1 b - - 0 23,d2c2 b6b8 f6d8 b8d8,600,102,92,379,backRankMate endgame mate mateIn2 short,https://lichess.org/LgJee4Cr/black#46
694734,HdMQK,r1b3k1/1p3ppp/pN6/8/4r2n/8/PPP3PP/2KR1B1R b - - 1 18,a8b8 d1d8 e4e8 d8e8,600,104,74,402,backRankMate mate mateIn2 middlegame short,https://lichess.org/6pNQhkAo/black#36
2142563,sQc7W,1r2R2k/p5pp/bp6/3B1r1Q/3q4/6P1/PP3P1P/6K1 b - - 1 23,b8e8 h5e8 f5f8 e8f8,600,103,94,602,endgame mate mateIn2 short,https://lichess.org/DxR6UxAn/black#46
2030557,paF7h,5rk1/pp3ppp/8/8/8/P3R3/3r1PPP/4R1K1 b - - 0 23,f8d8 e3e8 d8e8 e1e8,600,112,25,85,backRankMate endgame mate mateIn2 rookEndgame short,https://lichess.org/K7T3bIBt/black#46
2387844,yffPO,rn3r1k/ppp1pBb1/4P2p/5pN1/8/8/PPPP1qPP/RNBQ3K b - - 2 14,h6g5 d1h5 g7h6 h5h6,600,88,94,562,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/ZuG1M51h/black#28
448351,BNOQT,r5k1/5ppp/4p1n1/4P3/1BpNn3/2P5/5PPP/4R1K1 w - - 0 25,e1e4 a8a1 e4e1 a1e1,600,86,78,104,backRankMate endgame mate mateIn2 short,https://lichess.org/7oSh9V8p#49
2106825,rWoYy,4rr1k/4q1pp/3b1p2/p2B1R1P/1pp3Q1/8/PPPB2P1/R6K w - - 1 30,a1e1 e7e1 d2e1 e8e1 f5f1 e1f1,600,93,89,366,kingsideAttack long mate mateIn3 middlegame,https://lichess.org/KJh0dPyz#59
2174805,tF2wC,r3r1k1/6bp/3p2p1/p1pP4/1p4P1/1P3q1P/PB2RP2/4RQK1 b - - 1 26,g7b2 e2e8 a8e8 e1e8,600,101,93,420,crushing kingsideAttack middlegame short,https://lichess.org/CBlxtKc3/black#52
2142644,sQjVl,2r1qrk1/1p5p/3bb3/2p1p1pB/2P1P3/3P4/5PPP/R2Q1RK1 b - - 0 20,e8h5 d1h5,600,110,76,111,crushing hangingPiece middlegame oneMove,https://lichess.org/cn0MJrvO/black#40
2123442,rwmgV,6k1/pR3pp1/1b5p/4n3/4B3/2r3PP/P5PK/8 b - - 1 32,c3e3 b7b8 b6d8 b8d8,600,107,88,369,endgame mate mateIn2 short,https://lichess.org/lJ8b0HeY/black#64
1788683,jQr6w,1k4Rq/ppp4r/3p4/4p3/4Pn2/2PP2QP/PP3PP1/4R1K1 b - - 2 26,h8g8 g3g8,600,109,71,306,backRankMate endgame hangingPiece mate mateIn1 oneMove,https://lichess.org/9LtndYmw/black#52
1369097,YmsMn,4r1k1/p3rpbp/1p4p1/8/2P5/1P3B2/2R2PPP/5RK1 w - - 0 23,f1d1 e7e1 d1e1 e8e1,600,83,100,141,backRankMate endgame mate mateIn2 short,https://lichess.org/MejmXTNC#45
2322102,x04ya,3qrQ1k/ppr3pp/2p1B1b1/8/3P4/1P2P2P/P4RP1/5RK1 b - - 5 28,e8f8 f2f8 d8f8 f1f8,600,91,63,199,backRankMate fork mate mateIn2 middlegame short,https://lichess.org/zG3A1yW8/black#56
2174820,tF4L0,1k1r4/ppp2ppp/6b1/4R3/2P5/2K2PPB/PP5P/3R4 b - - 0 19,d8d1 e5e8 d1d8 e8d8,600,102,73,380,backRankMate endgame mate mateIn2 short,https://lichess.org/I8388oRE/black#38
266885,6mLAP,6k1/pp3p1p/2n2B2/8/8/1PqP4/6PP/4rQ1K w - - 1 26,f6c3 e1f1,600,96,94,409,backRankMate endgame hangingPiece mate mateIn1 oneMove,https://lichess.org/c0gOt7QM#51
1622437,fD2dT,rnbqkb1r/pp2pppp/2p4n/3pP3/5P2/8/PPPPB1PP/RNBQK1NR b KQkq - 2 4,c8g4 e2g4 h6g4 d1g4,600,81,92,895,advantage opening short,https://lichess.org/VeJlbNt1/black#8
2387736,yfUgH,8/1R6/2P4p/8/7P/r5k1/8/6K1 w - - 0 39,c6c7 a3a1 b7b1 a1b1,600,99,91,545,endgame mate mateIn2 rookEndgame short,https://lichess.org/N7aJDTno#77
1149582,TCu2d,6k1/1B4pp/p3p3/1p2B3/2r5/P7/1P1r1PPP/3R2K1 w - - 0 23,d1d2 c4c1 d2d1 c1d1,600,87,82,78,backRankMate endgame mate mateIn2 short,https://lichess.org/qEKPG4uf#45
874383,MCTS8,6k1/5pp1/4p3/2p4p/2P5/4P3/rr4PP/2R2RK1 b - - 0 30,b2f2 f1f2,600,104,85,473,crushing endgame hangingPiece oneMove rookEndgame,https://lichess.org/RmgjQ4E1/black#60
188097,4lt3r,3rr1k1/6p1/3q3p/1p5P/p2pP1P1/P2R4/1P1Q2K1/4R3 w - - 0 38,d3d4 d6d4 d2d4 d8d4,600,84,82,237,crushing endgame short,https://lichess.org/JsAVXPbL#75
1074324,RI86X,5Qk1/q4p2/p2RbP1p/1p6/8/2P2P2/PP2KbPP/7R b - - 0 31,g8f8 d6d8,600,92,71,126,endgame mate mateIn1 oneMove,https://lichess.org/RrloFzFo/black#62
1146608,T8CJz,6rk/5p1p/b1p1pPr1/p1p2p2/P6R/1P1Pp1PR/2P1B2P/6K1 b - - 2 28,h7h6 h4h6 g6h6 h3h6,600,96,85,322,endgame kingsideAttack mate mateIn2 short,https://lichess.org/2s1PIr7x/black#56
2322093,x0478,6k1/p5pp/8/4rpb1/4N3/3P3b/PPP2P1P/R1B3K1 w - - 0 24,e4g5 e5e1,600,84,96,278,endgame mate mateIn1 oneMove,https://lichess.org/FdamYyvB#47
137338,3UR2O,7k/3N2p1/1p5p/5p2/1P6/2r2P2/3q2PP/3R3K w - - 0 31,d1d2 c3c1 d2d1 c1d1,600,103,84,158,backRankMate endgame mate mateIn2 short,https://lichess.org/yZzaeeOT#61
359918,98eDx,5r1k/R5pp/1p2r3/n7/8/4P2P/5QPK/8 b - - 0 26,f8f2 a7a8 e6e8 a8e8 f2f8 e8f8,600,102,88,610,backRankMate endgame long mate mateIn3,https://lichess.org/6vVfHO6M/black#52
2269483,vebbL,5rk1/pbn3b1/1p3q2/3ppP2/2Pp4/3BP1Q1/PP1B2PP/5R1K w - e6 0 26,f5e6 f6f1 d3f1 f8f1,600,81,76,211,backRankMate master mate mateIn2 middlegame short,https://lichess.org/ie319a5Z#51
2387733,yfUPL,r5k1/1p3ppp/8/4B3/4P3/8/2R3PP/q6K w - - 0 29,e5a1 a8a1 c2c1 a1c1,600,95,75,60,backRankMate endgame mate mateIn2 short,https://lichess.org/RNDuRvbp#57
2002909,osCD3,4rr1k/1p4bp/p7/2p2pN1/2Q5/1P1P1P2/6PP/2R1q2K w - - 8 35,c1e1 e8e1,600,102,67,272,backRankMate endgame mate mateIn1 oneMove,https://lichess.org/SGSiCYqJ#69
447785,BMUS4,3r2k1/5ppp/p1n5/8/1P2r3/B7/P1P2PPP/4R1K1 w - - 0 24,e1e4 d8d1 e4e1 d1e1,600,91,80,367,backRankMate endgame mate mateIn2 short,https://lichess.org/aOdw0WHp#47
1529603,cqreF,8/pk5q/8/1p1p2Np/2p3n1/8/P5PP/6RK w - - 0 29,g5h7 g4f2,600,109,81,643,endgame mate mateIn1 oneMove smotheredMate,https://lichess.org/tOMAg7IO#57
1369253,Yn72l,r5k1/3p1ppp/3P1q2/p1p5/1p6/3Q4/P1B3PP/1R2rNK1 b - - 5 27,e1e6 d3h7 g8f8 h7h8,600,104,85,298,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/0xMG253L/black#54
2433496,zpZAO,R6r/1p1k4/2p1q2p/5pp1/1pPb4/1Q5P/1P3PPB/6K1 w - - 0 28,a8h8 e6e1,600,84,81,290,endgame mate mateIn1 oneMove,https://lichess.org/im1j0JCF#55
1369235,Yn5aS,r3Qk2/ppp2rpp/2pq4/5p2/8/1P1P1P2/P1P1R2P/4R2K b - - 10 28,a8e8 e2e8,600,97,67,93,endgame mate mateIn1 oneMove queenRookEndgame,https://lichess.org/ghp69iTl/black#56
