,PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl
2163626,sxQd8,8/2NR3p/p2r2pb/1pp1kp2/8/8/PPP2PPP/1K6 w - - 10 31,d7h7 d6d1,556,119,8,43,backRankMate endgame mate mateIn1 oneMove,https://lichess.org/tuCh4IW8#61
1921433,mo5sP,r3k1r1/3p1p1p/p3pB2/1p6/8/1P4qP/P1P1Q1b1/R4R1K w q - 0 22,e2g2 g3g2,557,115,0,45,mate mateIn1 middlegame oneMove,https://lichess.org/7urDWFHs#43
1828489,kROgW,8/1Q4pp/p3p2k/4P3/1P1b4/6Pq/7P/4Rr1K w - - 3 33,e1f1 h3f1,558,125,25,45,endgame mate mateIn1 oneMove,https://lichess.org/0roJyTLH#65
172293,4N4bw,r1b2r1k/pppp2pp/1n1P4/4p3/4R3/1Q6/P5PP/4Rq1K w - - 4 25,e1f1 f8f1,559,194,0,10,backRankMate mate mateIn1 middlegame oneMove,https://lichess.org/qPDQwDXh#49
2266226,vZWXi,6k1/6p1/R5P1/3p1p2/2pPnP2/3r3P/8/6K1 b - - 0 49,d3d4 a6a8,561,131,-11,56,endgame mate mateIn1 oneMove,https://lichess.org/fnRgMMeS/black#98
2162105,sv60r,6k1/8/p4B2/P3p2r/4P3/2K2P2/1P6/8 w - - 0 41,f6e5 h5e5,562,153,-38,42,advantage endgame hangingPiece oneMove,https://lichess.org/u2KJqK0U#81
2006565,oxpxX,2Q2k1r/4rppp/8/p7/1qpP4/5P2/P5PP/R3R1K1 b - - 5 26,e7e8 e1e8,563,104,25,84,endgame mate mateIn1 oneMove,https://lichess.org/4XIZmsvO/black#52
1297965,Wyjor,8/p1k2ppp/4p2b/2P5/8/6P1/P4P1P/1R4K1 w - - 0 33,b1b7 c7b7,565,129,11,38,crushing endgame hangingPiece oneMove,https://lichess.org/jKBIa93t#65
640835,GGImz,1k3r2/p1p5/Pp6/1P3r1p/1P2p1pQ/4P3/6PP/R4qK1 w - - 0 35,a1f1 f5f1,566,159,20,21,endgame mate mateIn1 oneMove queenRookEndgame,https://lichess.org/HIiaelIn#69
1500361,c6lCC,r1b2rk1/4nppp/4p3/1p1p4/pPp5/P1q1P3/2BNQ1PP/R3BRK1 w - - 0 19,c2h7 g8h7,566,131,5,38,advantage hangingPiece middlegame oneMove,https://lichess.org/EMQBFw4B#37
2255415,vINrj,8/6k1/p1R3B1/4p1K1/6P1/2p1r3/8/8 w - - 8 52,c6c3 e3c3,569,142,0,25,crushing endgame hangingPiece oneMove,https://lichess.org/LK8Vws7d#103
600112,FECOz,2N2rk1/1p4bp/1p2p1p1/6r1/2B5/8/Pn3PPP/R4RK1 b - - 0 21,f8c8 c4e6 g8f8 e6c8,569,123,-43,28,advantage fork middlegame short,https://lichess.org/g0V7YqDD/black#42
1441041,abTM6,5rk1/ppp3pp/6b1/2pPQ3/8/8/PP4PP/4Rq1K w - - 2 26,e1f1 f8f1,569,151,33,20,backRankMate endgame mate mateIn1 oneMove,https://lichess.org/5c8kI8eN#51
1056502,QqF2F,8/7p/2k3p1/8/1b1K4/r1N5/5PPP/2R5 b - - 2 41,b4c3 c1c3 a3c3 d4c3,570,114,33,45,crushing endgame short,https://lichess.org/Xh8aLwf6/black#82
2143141,sRU51,r3r1k1/pp3ppp/2pq4/7b/2P1R3/3P3P/1P3PPN/R3Q1K1 b - - 0 21,h5g6 e4e8 a8e8 e1e8,570,120,38,31,crushing kingsideAttack middlegame short,https://lichess.org/0fJa6ioH/black#42
1302311,X5aXw,2k1Q2r/1bpp1p1r/6p1/p1pP2P1/2P3P1/1P3P1N/Pq4BK/R3R3 b - - 3 31,h8e8 e1e8,571,118,0,43,backRankMate mate mateIn1 middlegame oneMove,https://lichess.org/IH78FcLe/black#62
92333,2LS8N,3r2rk/1Q3p1p/p4p1q/4b3/8/1PN1PR1P/P5B1/2R3K1 b - - 3 25,g8g2 g1g2,573,114,-25,34,crushing hangingPiece middlegame oneMove,https://lichess.org/eYPe66pt/black#50
